,km_driven,Chevrolet,Expensive,Ford,Honda,Hyundai,Mahindra,Maruti,Renault,Skoda,Tata,Toyota,Volkswagen,selling_price,fuel_Diesel,fuel_LPG,fuel_Petrol,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
0,20000,False,True,False,False,False,False,False,False,False,False,False,False,450000,True,False,False,False,False,False,False
1,72000,False,False,False,False,False,False,True,False,False,False,False,False,370000,True,False,False,False,True,False,False
2,24857,False,False,False,True,False,False,False,False,False,False,False,False,158000,False,False,True,False,False,False,True
3,56000,False,False,False,False,True,False,False,False,False,False,False,False,225000,True,False,False,False,False,False,False
4,110000,False,False,False,True,False,False,False,False,False,False,False,False,130000,False,False,True,False,False,False,False
5,13000,False,False,False,False,False,False,False,True,False,False,False,False,440000,False,False,True,False,False,False,False
6,90000,False,False,False,True,False,False,False,False,False,False,False,False,96000,False,True,False,False,False,False,False
7,188000,False,False,False,False,False,False,False,True,False,False,False,False,45000,False,False,True,False,True,False,False
8,90000,False,False,False,False,False,False,False,False,False,False,True,False,350000,True,False,False,False,False,False,False
9,80000,False,False,False,False,True,False,False,False,False,False,False,False,200000,True,False,False,False,False,False,False
10,20000,False,True,False,False,False,False,False,False,False,False,False,False,500000,True,False,False,False,True,False,False
11,40000,False,False,False,False,True,False,False,False,False,False,False,False,92000,False,False,True,False,True,False,False
12,80000,False,False,False,False,False,False,False,False,False,True,False,False,280000,True,False,False,False,True,False,False
13,80000,False,False,False,False,False,False,False,False,False,False,True,False,200000,False,False,True,False,True,False,False
14,23712,False,False,False,False,False,False,True,False,False,False,False,False,180000,False,False,True,False,True,False,False
15,250000,False,False,False,False,False,False,False,True,False,False,False,False,400000,False,False,True,False,False,False,False
16,7032,False,False,False,True,False,False,False,False,False,False,False,False,778000,True,False,False,False,True,False,False
17,120000,False,False,False,False,False,True,False,False,False,False,False,False,500000,True,False,False,False,True,False,False
18,70000,False,False,False,False,True,False,False,False,False,False,False,False,150000,False,False,True,False,True,False,False
19,80000,False,False,False,False,False,False,False,True,False,False,False,False,680000,True,False,False,False,False,False,False
20,90000,False,False,False,False,False,False,True,False,False,False,False,False,174000,True,False,False,False,True,False,False
21,94000,False,False,False,False,False,False,True,False,False,False,False,False,950000,True,False,False,False,False,False,False
22,54000,False,False,False,False,False,False,True,False,False,False,False,False,525000,True,False,False,False,False,False,False
23,50000,False,False,False,False,False,False,True,False,False,False,False,False,600000,True,False,False,False,False,False,False
24,57000,False,False,False,False,False,True,False,False,False,False,False,False,500000,False,False,True,False,False,False,False
25,62000,False,False,True,False,False,False,False,False,False,False,False,False,575000,False,False,True,False,False,False,False
26,20000,False,False,False,False,True,False,False,False,False,False,False,False,275000,False,False,True,False,False,False,False
27,57000,False,False,False,False,False,False,False,False,False,True,False,False,300000,True,False,False,False,False,False,False
28,60000,False,False,False,False,True,False,False,False,False,False,False,False,220000,False,False,True,False,False,False,False
29,250000,False,False,False,False,False,False,False,False,False,False,True,False,254999,False,False,True,False,False,False,False
30,100000,False,False,False,False,False,True,False,False,False,False,False,False,670000,True,False,False,False,False,False,False
31,70000,False,False,False,False,True,False,False,False,False,False,False,False,70000,False,False,True,False,True,False,False
32,60000,False,False,False,False,False,False,True,False,False,False,False,False,150000,False,False,True,False,True,False,False
33,90000,False,False,False,False,False,False,True,False,False,False,False,False,730000,False,False,True,False,False,False,False
34,70000,False,False,False,False,False,False,True,False,False,False,False,False,650000,True,False,False,False,False,False,False
35,25000,False,False,False,False,False,False,False,False,False,True,False,False,330000,False,False,False,False,True,False,False
36,60000,False,True,False,False,False,False,False,False,False,False,False,False,366000,False,False,True,False,False,False,False
37,100000,False,False,False,False,True,False,False,False,False,False,False,False,1149000,False,False,True,False,False,False,False
38,40000,False,False,False,False,False,False,True,False,False,False,False,False,150000,False,False,True,False,False,False,False
39,81000,False,False,False,False,True,False,False,False,False,False,False,False,425000,True,False,False,False,True,False,False
